entity,term,count,,,entity,term,count,entity,term,count
Species,mouse,283,,,Species,mouse,283,Chemical,calcium,35
Species,mice,208,,,Species,mice,208,Chemical,tyrosine,30
Species,human,152,,,Species,human,152,Chemical,iron,26
Gene,LIS1,121,,,Gene,LIS1,121,Chemical,5-HT,19
Gene,Lis1,83,,,Gene,ErbB4,78,Chemical,lysine,19
Gene,ErbB4,78,,,Gene,AMBRA1,52,Chemical,Ser,17
Species,murine,76,,,Gene,Brd4,49,Chemical,serine,16
Species,mammalian,75,,,Gene,MEF2,47,Chemical,steroid,13
Gene,AMBRA1,52,,,Gene,GRIP1,46,Disease,cancer,30
Gene,Brd4,49,,,Gene,frataxin,45,Disease,lissencephaly,20
Gene,MEF2,47,,,Gene,MEF2C,42,Disease,infection,15
Gene,GRIP1,46,,,Gene,Keap1,40,Disease,tumor,12
Gene,frataxin,45,,,Gene,FGFR1,35,Disease,diabetes,11
Gene,MEF2C,42,,,,,,,,
Gene,Keap1,40,,,,,,,,
Gene,FGFR1,35,,,,,,,,
Chemical,calcium,35,,,,,,,,
Gene,Nrf2,33,,,,,,,,
Gene,PSD-95,32,,,,,,,,
Gene,PTEN,32,,,,,,,,
Gene,Ambra1,32,,,,,,,,
Gene,Tek,30,,,,,,,,
Chemical,tyrosine,30,,,,,,,,
Disease,cancer,30,,,,,,,,
Gene,HER4,27,,,,,,,,
Gene,NUDEL,27,,,,,,,,
Gene,Tie2,26,,,,,,,,
Chemical,iron,26,,,,,,,,
Gene,CaV1.2,25,,,,,,,,
Gene,Tie-2,24,,,,,,,,
Gene,CHD1,23,,,,,,,,
Gene,Ndel1,23,,,,,,,,
Gene,STAT5A,23,,,,,,,,
Gene,IFN-gamma,22,,,,,,,,
Gene,beta-catenin,21,,,,,,,,
Gene,Tsc1,21,,,,,,,,
Gene,DYRK1A,21,,,,,,,,
Gene,Setd5,21,,,,,,,,
Gene,CARM1,20,,,,,,,,
Disease,lissencephaly,20,,,,,,,,
Species,yeast,19,,,,,,,,
Chemical,5-HT,19,,,,,,,,
Chemical,lysine,19,,,,,,,,
Gene,FGF,18,,,,,,,,
Gene,tek,18,,,,,,,,
Gene,Cul3,18,,,,,,,,
Species,patients,18,,,,,,,,
Gene,FMRP,17,,,,,,,,
Gene,Sema5A,17,,,,,,,,
Gene,Rai1,17,,,,,,,,
Chemical,Ser,17,,,,,,,,
Gene,ERBB4,16,,,,,,,,
Chemical,serine,16,,,,,,,,
Gene,TSC2,15,,,,,,,,
Gene,Akt,15,,,,,,,,
Gene,NDEL1,15,,,,,,,,
Gene,CRY2,15,,,,,,,,
Disease,infection,15,,,,,,,,
Gene,GTF2I,14,,,,,,,,
Gene,MBD2,14,,,,,,,,
Gene,Pten,14,,,,,,,,
Gene,VE-PTP,14,,,,,,,,
Gene,FGF-2,14,,,,,,,,
Gene,SRC-2,14,,,,,,,,
Gene,MyoD,13,,,,,,,,
Gene,metaxin 2,13,,,,,,,,
Gene,Ang3,13,,,,,,,,
Gene,CAL,13,,,,,,,,
Gene,mTOR,13,,,,,,,,
Gene,ADAM22,13,,,,,,,,
Gene,CyPA,13,,,,,,,,
Chemical,steroid,13,,,,,,,,
Gene,FGFR-1,12,,,,,,,,
Gene,tie-2,12,,,,,,,,
Gene,Gtf2i,12,,,,,,,,
Gene,DCX,12,,,,,,,,
Gene,Mef2C,12,,,,,,,,
Gene,Myc,12,,,,,,,,
Gene,Ang4,12,,,,,,,,
Gene,CaBP5,12,,,,,,,,
Gene,P-selectin,12,,,,,,,,
Gene,USP7,12,,,,,,,,
Gene,WASH,12,,,,,,,,
Gene,gp49B,12,,,,,,,,
Species,Drosophila,12,,,,,,,,
Disease,tumor,12,,,,,,,,
Gene,Dyrk,11,,,,,,,,
Gene,Tcf-4,11,,,,,,,,
Gene,Tsc2,11,,,,,,,,
Gene,NudE,11,,,,,,,,
Gene,HDAC7,11,,,,,,,,
Gene,CLIP-170,11,,,,,,,,
Gene,NG2,11,,,,,,,,
Gene,Dyrk1A,11,,,,,,,,
Gene,CUL3,11,,,,,,,,
Gene,TFII-I,11,,,,,,,,
Gene,CHD8,11,,,,,,,,
Gene,FGF23,11,,,,,,,,
Gene,XIAP,11,,,,,,,,
Gene,DICAM,11,,,,,,,,
Gene,SETD5,11,,,,,,,,
Gene,FAK,11,,,,,,,,
Disease,diabetes,11,,,,,,,,
Gene,DYRK,10,,,,,,,,
Gene,SEF-2,10,,,,,,,,
Gene,MBD3,10,,,,,,,,
Gene,Tsc-2,10,,,,,,,,
Gene,MCAP,10,,,,,,,,
Gene,gamma-PAK,10,,,,,,,,
Gene,Mef2c,10,,,,,,,,
Gene,RAI1,10,,,,,,,,
Gene,Nudel,10,,,,,,,,
Gene,BRD4,10,,,,,,,,
Gene,Scrib,10,,,,,,,,
Gene,AK4,10,,,,,,,,
Gene,SIRT1,10,,,,,,,,
Gene,MLL,10,,,,,,,,
Gene,dynein,10,,,,,,,,
Gene,PWWP2A,10,,,,,,,,
Species,humans,10,,,,,,,,
Chemical,glucose,10,,,,,,,,
Disease,SMS,10,,,,,,,,
CellLine,T-cell,10,,,,,,,,
Gene,MEF-2,9,,,,,,,,
Gene,glucocorticoid receptor,9,,,,,,,,
Gene,SRC-1,9,,,,,,,,
Gene,metaxin 1,9,,,,,,,,
Gene,Grb14,9,,,,,,,,
Gene,CYFIP1,9,,,,,,,,
Gene,Rac1,9,,,,,,,,
Gene,Klotho,9,,,,,,,,
Gene,FXN,9,,,,,,,,
Gene,Cyt1,9,,,,,,,,
Gene,AKT,9,,,,,,,,
Gene,WAVE1,9,,,,,,,,
Gene,Hsp90,9,,,,,,,,
Chemical,phosphotyrosine,9,,,,,,,,
Disease,embryonic lethality,9,,,,,,,,
Disease,leukaemia,9,,,,,,,,
Gene,GT1,8,,,,,,,,
Gene,SSTR2,8,,,,,,,,
Gene,TIF2,8,,,,,,,,
Gene,AF-1,8,,,,,,,,
Gene,FRDA,8,,,,,,,,
Gene,IL-4,8,,,,,,,,
Gene,mNudE-L,8,,,,,,,,
Gene,PTB,8,,,,,,,,
Gene,NOR-1,8,,,,,,,,
Gene,Cdc42,8,,,,,,,,
Gene,PAF receptor,8,,,,,,,,
Gene,beta1AR,8,,,,,,,,
Gene,filamin C,8,,,,,,,,
Gene,APH-1,8,,,,,,,,
Gene,Scl,8,,,,,,,,
Gene,DISC1,8,,,,,,,,
Gene,CIB1,8,,,,,,,,
Gene,CLOCK,8,,,,,,,,
Gene,Foxp3,8,,,,,,,,
Gene,SHANK3,8,,,,,,,,
Gene,Shisa6,8,,,,,,,,
Gene,Src,8,,,,,,,,
Gene,Dpep3,8,,,,,,,,
Gene,CDK4/6,8,,,,,,,,
Species,rat,8,,,,,,,,
Species,Mice,8,,,,,,,,
Species,Xenopus,8,,,,,,,,
Species,Mammalian,8,,,,,,,,
Chemical,leucine,8,,,,,,,,
Chemical,arginine,8,,,,,,,,
Chemical,phosphopeptides,8,,,,,,,,
Chromosome,2p34,8,,,,,,,,
Disease,MDS,8,,,,,,,,
Disease,neuronal migration defects,8,,,,,,,,
CellLine,P19,8,,,,,,,,
Gene,receptor tyrosine kinase,7,,,,,,,,
Gene,TEK,7,,,,,,,,
Gene,MBD1,7,,,,,,,,
Gene,MBD4,7,,,,,,,,
Gene,SSTR-2,7,,,,,,,,
Gene,Grb2,7,,,,,,,,
Gene,Grb7,7,,,,,,,,
Gene,Ca(v)1.2,7,,,,,,,,
Gene,SAP90,7,,,,,,,,
Gene,mNudE,7,,,,,,,,
Gene,Pafah1b1,7,,,,,,,,
Gene,JNK,7,,,,,,,,
Gene,HGF,7,,,,,,,,
Gene,Kir2.3,7,,,,,,,,
Gene,FLASH,7,,,,,,,,
Gene,PAK-2,7,,,,,,,,
Gene,Rac,7,,,,,,,,
Gene,STAT5,7,,,,,,,,
Gene,p53,7,,,,,,,,
Gene,Pak2,7,,,,,,,,
Gene,Arip4,7,,,,,,,,
Gene,MUC20,7,,,,,,,,
Gene,Duplin,7,,,,,,,,
Gene,Aph-1a,7,,,,,,,,
Gene,PLCdelta4,7,,,,,,,,
Gene,SLTM,7,,,,,,,,
Gene,BDNF,7,,,,,,,,
Gene,TMEM16B,7,,,,,,,,
Gene,Chd1,7,,,,,,,,
Gene,Hausp,7,,,,,,,,
Gene,Plk3,7,,,,,,,,
Gene,Dnmt1,7,,,,,,,,
Gene,integrin beta3,7,,,,,,,,
Gene,BMAL1,7,,,,,,,,
Gene,ASUN,7,,,,,,,,
Gene,RNF2,7,,,,,,,,
Gene,LRIT3,7,,,,,,,,
Gene,Shisa7,7,,,,,,,,
Species,transgenic mice,7,,,,,,,,
Chemical,heparin,7,,,,,,,,
Chemical,Ca2+,7,,,,,,,,
Disease,tumour,7,,,,,,,,
Disease,cancers,7,,,,,,,,
Disease,haploinsufficiency,7,,,,,,,,
Disease,cardiac hypertrophy,7,,,,,,,,
Gene,gamma-adaptin,6,,,,,,,,
Gene,flg,6,,,,,,,,
Gene,Tie-1,6,,,,,,,,
Gene,All-1,6,,,,,,,,
Gene,SF/HGF,6,,,,,,,,
Gene,CBP,6,,,,,,,,
Gene,MIBP1,6,,,,,,,,
Gene,Stat5,6,,,,,,,,
Gene,PSD-93,6,,,,,,,,
Gene,Folh1,6,,,,,,,,
Gene,TSC1,6,,,,,,,,
Gene,CYFIP1/2,6,,,,,,,,
Gene,Sema4F,6,,,,,,,,
Gene,SOX18,6,,,,,,,,
Gene,TCF4,6,,,,,,,,
Gene,Ang-1,6,,,,,,,,
Gene,Ang-2,6,,,,,,,,
Gene,TNF alpha,6,,,,,,,,
Gene,Ang1,6,,,,,,,,
Gene,Erbb4,6,,,,,,,,
Gene,Dcx,6,,,,,,,,
Gene,NRG1,6,,,,,,,,
Gene,GAC63,6,,,,,,,,
