text,Canonical Name,Concept ID,TUI(s),Score,start,end
leucettine L41,"((5Z)5-(1,3-benzodioxol-5-yl)methylene-2-phenylamino-3,5-dihydro-4H-imidazol-4-one)",C3657933,T109,1,60553,60555
17p13.3 deletions,17p13.3,C1520754,T026,0.866235,27764,27766
phosphatidylinositol 3-kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",1,11722,11724
PI3-kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",1,11725,11726
PI3-kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",1,11763,11764
PI3-kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",1,11809,11810
PI3-kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",1,11841,11842
phosphatidylinositol 3 kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",1,14309,14312
putative phosphatidyl inositol 3-kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",0.852416,14461,14465
PI3-K,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",0.939812,14466,14467
PI3-K,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",0.939812,14633,14634
PI3-K,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",0.939812,14675,14676
phosphatidylinositol 3-kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",1,15881,15883
phosphatidylinositol 3-kinase,1-Phosphatidylinositol 3-Kinase,C0044602,"T116,T126",1,15987,15989
22q13,22q13,C1521113,T026,1,62089,62090
2D,2-Dimensional,C1705052,T082,1,31597,31598
downstream regions,3' Region,C1883633,T086,0.946169,66246,66248
MDa,"3,4-Methylenedioxyamphetamine",C0000379,"T109,T131",1,22419,22420
3c,3c,C0450366,T170,1,2015,2016
PDB,4-dichlorobenzene,C0048243,"T109,T131",1,44676,44677
X-gal,5-bromo-4-chloro-3-indolyl beta-galactoside,C0049081,T109,1,2736,2737
tubule,A axonemal microtubule,C3893601,T026,0.918265,61504,61505
codes,A Codes,C0919279,T185,1,8050,8051
Ab,AB Term Type,C1705545,T170,1,62868,62869
abdominal aorta,Abdominal aorta structure,C0003484,T023,1,14552,14554
aberrant,Aberrant,C0443127,T080,1,5396,5397
aberrant,Aberrant,C0443127,T080,1,16533,16534
aberrant,Aberrant,C0443127,T080,1,20082,20083
aberrant,Aberrant,C0443127,T080,1,27850,27851
aberrant,Aberrant,C0443127,T080,1,46751,46752
aberrant,Aberrant,C0443127,T080,1,57804,57805
aberrant,Aberrant,C0443127,T080,1,57932,57933
aberrant,Aberrant,C0443127,T080,1,58570,58571
aberrant,Aberrant,C0443127,T080,1,64882,64883
aberrant,Aberrant,C0443127,T080,1,66156,66157
Abi-1,ABI1 wt Allele,C1705546,T028,1,31727,31728
e3B1,ABI1 wt Allele,C1705546,T028,1,31729,31730
Abi-1,ABI1 wt Allele,C1705546,T028,1,31747,31748
abilities,Ability,C0085732,T032,1,274,275
driving,Ability to Drive,C4050139,T170,1,62488,62489
ablation,Ablation,C0547070,T061,1,29294,29295
Ablation,Ablation,C0547070,T061,1,35099,35100
ablation,Ablation,C0547070,T061,1,62538,62539
abnormal,Abnormal,C0205161,T033,1,4108,4109
abnormal,Abnormal,C0205161,T033,1,20127,20128
abnormal,Abnormal,C0205161,T033,1,23557,23558
abnormal,Abnormal,C0205161,T033,1,24180,24181
Abnormal,Abnormal,C0205161,T033,1,38585,38586
abnormal,Abnormal,C0205161,T033,1,40513,40514
abnormal,Abnormal,C0205161,T033,1,40568,40569
abnormal,Abnormal,C0205161,T033,1,53859,53860
abnormal,Abnormal,C0205161,T033,1,60014,60015
abnormal,Abnormal,C0205161,T033,1,60023,60024
abnormal,Abnormal,C0205161,T033,1,68581,68582
abnormal,Abnormal,C0205161,T033,1,69025,69026
abnormal,Abnormal,C0205161,T033,1,69339,69340
abnormal,Abnormal,C0205161,T033,1,69968,69969
neurobehavioral abnormalities,Abnormal behavior,C0233514,T048,0.869928,59785,59787
degenerated,Abnormal degeneration,C0011164,T046,1,16087,16088
degeneration,Abnormal degeneration,C0011164,T046,1,26125,26126
abnormality,Abnormality,C1704258,T033,1,11938,11939
mitochondrial dysfunction,Abnormality of mitochondrial metabolism,C4021734,T033,1,10821,10823
vascular abnormalities,Abnormality of the vasculature,C0241657,T033,1,12703,12705
absence,Absence (morphologic abnormality),C1689985,T190,1,187,188
absence,Absence (morphologic abnormality),C1689985,T190,1,3743,3744
absence,Absence (morphologic abnormality),C1689985,T190,1,4632,4633
absence,Absence (morphologic abnormality),C1689985,T190,1,5356,5357
absence,Absence (morphologic abnormality),C1689985,T190,1,9544,9545
absence,Absence (morphologic abnormality),C1689985,T190,1,10559,10560
absence,Absence (morphologic abnormality),C1689985,T190,1,14251,14252
absence,Absence (morphologic abnormality),C1689985,T190,1,14572,14573
absence,Absence (morphologic abnormality),C1689985,T190,1,23145,23146
absence,Absence (morphologic abnormality),C1689985,T190,1,24172,24173
absence,Absence (morphologic abnormality),C1689985,T190,1,32782,32783
absence,Absence (morphologic abnormality),C1689985,T190,1,36931,36932
absence,Absence (morphologic abnormality),C1689985,T190,1,51518,51519
absence,Absence (morphologic abnormality),C1689985,T190,1,52097,52098
absence,Absence (morphologic abnormality),C1689985,T190,1,52460,52461
absence,Absence (morphologic abnormality),C1689985,T190,1,53384,53385
absence,Absence (morphologic abnormality),C1689985,T190,1,65412,65413
absence,Absence (morphologic abnormality),C1689985,T190,1,66232,66233
absolute,Absolute,C0205344,T080,1,231,232
ideas,Abstract thinking ability,C0459920,T041,1,64608,64609
abundance,Abundance,C2346714,T080,1,478,479
abundant,Abundance,C2346714,T080,1,4209,4210
abundant,Abundance,C2346714,T080,1,4905,4906
abundant,Abundance,C2346714,T080,1,9238,9239
abundant,Abundance,C2346714,T080,1,18031,18032
abundance,Abundance,C2346714,T080,1,18045,18046
abundant,Abundance,C2346714,T080,1,42919,42920
abundance,Abundance,C2346714,T080,1,46363,46364
abundance,Abundance,C2346714,T080,1,46956,46957
abundance,Abundance,C2346714,T080,1,48371,48372
abundance,Abundance,C2346714,T080,1,48951,48952
abundance,Abundance,C2346714,T080,1,49059,49060
abundance,Abundance,C2346714,T080,1,49430,49431
abundant,Abundance,C2346714,T080,1,62026,62027
abundance,Abundance,C2346714,T080,1,65868,65869
abundance,Abundance,C2346714,T080,1,70263,70264
accelerates,Accelerated,C0521110,T169,1,22176,22177
accelerates,Accelerated,C0521110,T169,1,24912,24913
acceptor,acceptors,C0000901,T098,1,64381,64382
exposure,Accident due to exposure to weather conditions,C0728853,T067,1,63165,63166
accumulation,Accumulation,C4055506,T033,1,15482,15483
accumulation,Accumulation,C4055506,T033,1,18018,18019
accumulation,Accumulation,C4055506,T033,1,21190,21191
accumulate,Accumulation,C4055506,T033,0.892313,22428,22429
accumulation,Accumulation,C4055506,T033,1,23573,23574
fat accumulation,Accumulation,C4055506,T033,0.877689,25955,25957
accumulate,Accumulation,C4055506,T033,0.892313,26772,26773
accumulate,Accumulation,C4055506,T033,0.892313,29261,29262
accumulation,Accumulation,C4055506,T033,1,38586,38587
accumulation,Accumulation,C4055506,T033,1,44319,44320
accumulation,Accumulation,C4055506,T033,1,51047,51048
accumulation,Accumulation,C4055506,T033,1,53860,53861
accumulation,Accumulation,C4055506,T033,1,65848,65849
accumulate,Accumulation,C4055506,T033,0.892313,66942,66943
accumulation,Accumulation,C4055506,T033,1,70434,70435
accuracy,Accurate (qualifier),C0443131,T080,1,35319,35320
protein acetyltransferases,Acetyltransferase,C0001068,"T116,T126",0.915048,23929,23931
acetyltransferase activity,acetyltransferase activity,C1151922,T044,1,23967,23969
acetyltransferase activity,acetyltransferase activity,C1151922,T044,1,23975,23977
acetyltransferase activity,acetyltransferase activity,C1151922,T044,1,38151,38153
acidic,Acids,C0001128,T103,1,1586,1587
tartrate-resistant acid phosphatase,ACP5 gene,C1412133,T028,1,59366,59369
acquisition,Acquisition (action),C1706701,T052,1,13787,13788
acquisition,Acquisition (action),C1706701,T052,1,48419,48420
investigation,Act Class - investigation,C1552578,T170,1,14029,14030
investigation,Act Class - investigation,C1552578,T170,1,23026,23027
investigation,Act Class - investigation,C1552578,T170,1,44103,44104
Investigation,Act Class - investigation,C1552578,T170,1,59894,59895
investigation,Act Class - investigation,C1552578,T170,1,60361,60362
review,Act Class - review,C1552617,T078,1,34897,34898
review,Act Class - review,C1552617,T078,1,56585,56586
cytoskeleton reorganisation,actin cytoskeleton reorganization,C1326829,T043,0.95834,62399,62401
actin polymerization,actin filament polymerization,C1155982,T043,1,29752,29754
actin polymerization,actin filament polymerization,C1155982,T043,1,31662,31664
actin polymerization,actin filament polymerization,C1155982,T043,1,65594,65596
actin polymerization,actin filament polymerization,C1155982,T043,1,65672,65674
nucleation,actin nucleation,C1155976,T044,0.862292,39494,39495
actin binding proteins,Actin-Binding Protein,C0001239,"T116,T123",1,42497,42500
actin,Actins,C0001271,"T116,T123",1,23206,23207
PI3K activation,Activating PI3K Mutation,C4290003,T049,0.88308,58352,58355
activate,Activation action,C1879547,T052,1,7043,7044
activation,Activation action,C1879547,T052,1,7370,7371
