,0,1,2
0,"((5Z)5-(1,3-benzodioxol-5-yl)methylene-2-phenylamino-3,5-dihydro-4H-imidazol-4-one)",leucettine L41,1
1,17p13.3,17p13.3 deletions,1
2,1-Phosphatidylinositol 3-Kinase,phosphatidylinositol 3-kinase,3
3,1-Phosphatidylinositol 3-Kinase,PI3-kinase,4
4,1-Phosphatidylinositol 3-Kinase,phosphatidylinositol 3 kinase,1
5,1-Phosphatidylinositol 3-Kinase,putative phosphatidyl inositol 3-kinase,1
6,1-Phosphatidylinositol 3-Kinase,PI3-K,3
7,22q13,22q13,1
8,2-Dimensional,2D,1
9,3' Region,downstream regions,1
10,"3,4-Methylenedioxyamphetamine",MDa,1
11,3c,3c,1
12,4-dichlorobenzene,PDB,1
13,5-bromo-4-chloro-3-indolyl beta-galactoside,X-gal,1
14,A axonemal microtubule,tubule,1
15,A Codes,codes,1
16,AB Term Type,Ab,1
17,Abdominal aorta structure,abdominal aorta,1
18,Aberrant,aberrant,10
19,ABI1 wt Allele,Abi-1,2
20,ABI1 wt Allele,e3B1,1
21,Ability,abilities,1
22,Ability to Drive,driving,1
23,Ablation,ablation,2
24,Ablation,Ablation,1
25,Abnormal,abnormal,13
26,Abnormal,Abnormal,1
27,Abnormal behavior,neurobehavioral abnormalities,1
28,Abnormal degeneration,degenerated,1
29,Abnormal degeneration,degeneration,1
30,Abnormality,abnormality,1
31,Abnormality of mitochondrial metabolism,mitochondrial dysfunction,1
32,Abnormality of the vasculature,vascular abnormalities,1
33,Absence (morphologic abnormality),absence,18
34,Absolute,absolute,1
35,Abstract thinking ability,ideas,1
36,Abundance,abundance,10
37,Abundance,abundant,6
38,Accelerated,accelerates,2
39,acceptors,acceptor,1
40,Accident due to exposure to weather conditions,exposure,1
41,Accumulation,accumulation,10
42,Accumulation,accumulate,4
43,Accumulation,fat accumulation,1
44,Accurate (qualifier),accuracy,1
45,Acetyltransferase,protein acetyltransferases,1
46,acetyltransferase activity,acetyltransferase activity,3
47,Acids,acidic,1
48,ACP5 gene,tartrate-resistant acid phosphatase,1
49,Acquisition (action),acquisition,2
50,Act Class - investigation,investigation,4
51,Act Class - investigation,Investigation,1
52,Act Class - review,review,2
53,actin cytoskeleton reorganization,cytoskeleton reorganisation,1
54,actin filament polymerization,actin polymerization,4
55,actin nucleation,nucleation,1
56,Actin-Binding Protein,actin binding proteins,1
57,Actins,actin,1
58,Activating PI3K Mutation,PI3K activation,1
59,Activation action,activate,18
60,Activation action,activation,64
61,Activation action,activated,22
62,Activation action,activates,7
63,Activation action,Activation,3
64,Activation action,activating,10
65,Activation function,activation function,1
66,Activator Appliances,coactivator function,1
67,Active Site,catalytic site,1
68,Activities,activities,3
69,Activities,activity,44
70,activity-dependent neurotrophic factor,activity-dependent neurotrophic factor,1
71,ACTL6A gene,BAF53a,1
72,ACTL6B gene,BAF53b,1
73,"ACTN4 protein, human",actin cross-linking protein,1
74,ACTR2 gene,actin-related protein,1
75,Acute inflammation,acute inflammation,1
76,Acute leukemia,acute leukemias,1
77,Acute Undifferentiated Leukemia,Scl,3
78,Adaptation,adaptation,1
79,Adapter Device Component,adaptor,3
80,Adaptive Thermogenesis,adaptive thermogenesis,1
81,Adaptor Protein Complex 1,Golgi adaptor,1
82,Adaptor Protein Complex 2,adaptors,3
83,"adaptor protein complex 2, alpha 2 subunit",alpha-adaptin,1
84,Adaptor Protein Complex beta Subunits,Adaptins,1
85,Adaptor Protein Complex beta Subunits,beta-adaptins,2
86,Adaptor Protein Complex gamma Subunits,gamma-adaptin,4
87,Adaptor Protein Complex gamma Subunits,gamma-adaptins,1
88,"Adaptor Proteins, Signal Transducing",adaptor protein,1
89,"Adaptor Proteins, Signal Transducing",signaling adaptor,1
90,"Adaptor Proteins, Signal Transducing",adaptor proteins,2
91,Adenocarcinoma of lung (disorder),lung adenocarcinoma,2
92,Adenosine Triphosphatases,ATPase,1
93,Adenylate,adenylate,1
94,Adenylate Cyclase,adenylyl cyclase,1
95,ADENYLATE KINASE,Adenylate kinase,1
96,ADENYLATE KINASE,AK,1
97,adenylosuccinate,adenylosuccinate,1
98,Adipocytes,adipocytes,4
99,Adjacent,adjacent,8
100,Administration procedure,administration,1
101,Adrenal Cortex,cortical,13
102,ADSL gene,Adenylosuccinate lyase,2
103,ADSL gene,adenylosuccinate lyase,2
104,Adult,adult,53
105,Adult,adults,3
106,Adulthood,adulthood,1
107,Advanced phase,advanced entry,1
108,Adverse Event Associated with Vascular,vascular,3
109,AF-1 domain binding,AF-1 domain,1
110,AF-2,AF-2,2
111,Affecting,affecting,4
112,Affecting,affected,4
113,Afferent,afferent,1
114,Affinity,affinity,11
115,Afibrinogenemia,fibrinogen deficiency,1
116,Age of Onset,onset,1
117,Age:Time:Point in time:^Patient:Quantitative,age,1
118,Aggregate,aggregates,1
119,Aggregation,aggregation,1
120,Aging,aging,1
121,Agonist,agonist,2
122,agonists,agonists,2
123,Agreement,accord,1
124,AHSA1 gene,Aha1,1
125,AK3 gene,AK3,2
126,AK4 gene,AK4,9
127,AKAP10 gene,A-kinase anchoring protein 150,1
128,AKAP10 gene,AKAP150,3
129,AKAP13 gene,AKAP13,4
130,AKAP13 gene,Akap13,2
131,AKAP13 wt Allele,AKAP-Lbc,1
132,AKAP13 wt Allele,proto-Lbc,1
133,AKAP8 gene,Akap8,1
134,"A-Kinase Anchor Protein 10, Mitochondrial",protein kinase A-anchoring protein,1
135,"A-Kinase Anchor Protein 10, Mitochondrial",AKAP,1
136,AKT Signaling Pathway,Akt signaling pathway,1
137,AKT1 gene,Rac,8
138,AKT1 gene,Akt1,2
139,Alanine,alanine,3
140,"Albumin Human, USP",HSA,1
141,algorithm,algorithms,1
142,Alkalies,Alkali,1
143,Alkaline phosphatase stain,alkaline phosphatase,1
144,Alleles,allele,4
145,Alleles,allelic,2
146,Alleles,alleles,2
147,Allogeneic Hematopoietic Stem Cell Transplantation,HSC,7
148,Alpha 1,alpha 1,1
149,Alpha 2,alpha 2,1
150,Alpha Granule,platelet granule,1
151,Alpha subunit - qualifier value,alpha 1 subunit,2
152,Alpha subunit - qualifier value,alpha subunit,1
153,Alpha1 Significance,alpha1,1
154,Alpha2 Significance,alpha2,3
155,alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid,AMPA,3
156,alpha-Lactalbumin,alpha-lactalbumin,1
157,Alteration,alterations,2
158,Alteration,alteration,3
159,Alternating,alternating,1
160,Alternative,alternate,5
161,Alternative,alternative,8
162,Alternative Splicing,alternative splicing,4
163,Alternative Splicing,Alternative splicing,1
164,Aluminum,aluminium,1
165,Alzheimer's Disease,Alzheimer disease brains,1
166,Alzheimer's Disease,Alzheimer\'s disease,2
167,AMBRA1 gene,Ambra1,19
168,AMBRA1 gene,AMBRA1,42
169,Amino Acid Motifs,motifs,15
170,Amino Acid Sequence,amino acid sequence,15
171,Amino Acid Sequence,primary structure,1
172,Amino Acid Sequence,partial amino acid sequences,1
173,Amino Acid Sequence,amino acid sequences,2
174,Amino Acids,amino acid,14
175,Amino Acids,amino acids,25
176,AMINO ACIDS/PROTEINS,amino acid protein,1
177,aminoacid sequence of protein,peptide sequence,1
178,Amount type - Differential,differential,3
179,Amount type - Rate,rate,6
180,AMPA Receptors,AMPA receptors,5
181,"AMPH protein, human",AMP,1
182,Amphibians,amphibians,1
183,Amplification,amplification,3
184,Amplitude,amplitude,1
185,Amplitude,amplitudes,1
186,Amyloid,amyloid,1
187,Amyloid Beta Precursor Protein Measurement,amyloid-beta precursor protein,1
188,Amyloid beta-Peptides,beta-amyloid,1
189,Amyotrophic Lateral Sclerosis,amyotrophic lateral sclerosis,1
190,Amyotrophic Lateral Sclerosis,ALS,3
191,Anabolism,synthesis,2
192,Anabolism,biogenesis,2
193,Anabolism,Synthesis,1
194,Analysis,analyzed,11
195,analysis aspect,analysis,15
196,analysis aspect,Analysis,4
197,anatomical layer,layers,4
198,anatomical layer,layering,1
199,anatomical layer,players,4
200,Anatomical maturation,maturation,2
201,Anatomical segmentation,segment,4
202,"Anatomy, Regional",topology,3
203,Anchorage,anchorage,1
204,Anchoring procedure,anchoring,3
205,Androgen Receptor,androgen receptors,1
206,Angiogenic Process,angiogenesis,5
207,Angiogenic Process,active angiogenesis,1
208,Angiopoietin-1 Receptor Signaling Pathway,Tek signaling pathway,2
209,"Angiopoietin-1 Receptor, Human",endothelial receptor tyrosine kinase,1
210,"Angiopoietin-1 Receptor, Human",angiopoietin receptor,1
211,Angiopoietin-2,angiopoietin-2,1
212,Angiopoietin-2,Ang-2,5
213,Angiopoietins,angiopoietins,1
214,Angiopoietins,angiopoietin binding,2
215,Angiopoietins,angiopoietin,1
216,Angiopoietins,Ang,1
217,Angiotensin II,angiotensin 2,1
218,"ANGPT1 protein, human",Angiopoietin-1,2
219,"ANGPT1 protein, human",Ang-1,5
220,"ANGPT1 protein, human",angiopoietin-1,1
221,"ANGPT1 protein, human",Ang1,5
222,ANGPT1 wt Allele,Angpt1,1
223,ANGPT2 gene,Ang2,1
224,ANGPT4 wt Allele,Ang4,12
225,ANGPTL1 gene,Ang3,13
226,Animal Model,animal model,2
227,Animal Model,animal models,1
228,Animals,animal,1
229,Animals,animals,2
230,"Animals, Transgenic",transgenic,1
231,ANO2 gene,TMEM16B,5
232,Anomaly of placenta,placental abnormalities,1
233,Antagonist muscle action,antagonist,2
234,Anterior chamber of eye structure,anterior chamber,1
235,Anthropological Culture,cultures,2
236,Antiapoptotic Agent,antiapoptotic protein,1
237,antibiotic G 418,G418,1
