yourlist:M202204215BF3C56A578D7D6DFD1FC81EE5DA77304AA2FAM	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
MBD3	Q9DA79	DPEP3_MOUSE	reviewed	Dipeptidase 3 (EC 3.4.13.19) (Membrane-bound dipeptidase 3) (MBD-3) (Protein expressed in male leptotene and zygotene spermatocytes 136) (MLZ-136)	Dpep3 Mbd3	Mus musculus (Mouse)	493
MBD3	Q9Z2D8	MBD3_MOUSE	reviewed	Methyl-CpG-binding domain protein 3 (Methyl-CpG-binding protein MBD3)	Mbd3	Mus musculus (Mouse)	285
ADSL	P54822	PUR8_MOUSE	reviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	Adsl Adl	Mus musculus (Mouse)	484
DYRK1A	Q61214	DYR1A_MOUSE	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (MP86) (Protein kinase minibrain homolog) (MNBH)	Dyrk1a Dyrk	Mus musculus (Mouse)	763
YEATS2	Q3TUF7	YETS2_MOUSE	reviewed	YEATS domain-containing protein 2	Yeats2 Kiaa1197	Mus musculus (Mouse)	1407
CHD8	Q09XV5	CHD8_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 8 (CHD-8) (EC 3.6.4.12) (ATP-dependent helicase CHD8) (Axis duplication inhibitor) (Duplin)	Chd8 Kiaa1564	Mus musculus (Mouse)	2582
CHD1	P40201	CHD1_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	Chd1 Chd-1	Mus musculus (Mouse)	1711
ADNP	Q9Z103	ADNP_MOUSE	reviewed	Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein)	Adnp	Mus musculus (Mouse)	1108
PTEN	O08586	PTEN_MOUSE	reviewed	"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)"	Pten Mmac1	Mus musculus (Mouse)	403
PAK2	Q8CIN4	PAK2_MOUSE	reviewed	Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (p21-activated kinase 2) (PAK-2) [Cleaved into: PAK-2p27; PAK-2p34]	Pak2	Mus musculus (Mouse)	524
TSC1	Q9EP53	TSC1_MOUSE	reviewed	Hamartin (Tuberous sclerosis 1 protein homolog)	Tsc1 Kiaa0243	Mus musculus (Mouse)	1161
NUP133	Q8R0G9	NU133_MOUSE	reviewed	Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)	Nup133	Mus musculus (Mouse)	1155
TOMM20	Q9DCC8	TOM20_MOUSE	reviewed	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	Tomm20	Mus musculus (Mouse)	145
USP7	Q6A4J8	UBP7_MOUSE	reviewed	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (mHAUSP) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	Usp7 Hausp	Mus musculus (Mouse)	1103
AP2S1	P62743	AP2S1_MOUSE	reviewed	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma-adaptin 3b) (Sigma2-adaptin)	Ap2s1 Ap17 Claps2	Mus musculus (Mouse)	142
FXN	O35943	FRDA_MOUSE	reviewed	"Frataxin, mitochondrial (Fxn) (EC 1.16.3.1) [Cleaved into: Frataxin intermediate form; Frataxin mature form]"	Fxn Frda	Mus musculus (Mouse)	207
POLA2	P33611	DPOA2_MOUSE	reviewed	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)	Pola2	Mus musculus (Mouse)	600
IFNG	P01580	IFNG_MOUSE	reviewed	Interferon gamma (IFN-gamma)	Ifng	Mus musculus (Mouse)	155
PAFAH1B1	P63005	LIS1_MOUSE	reviewed	Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	Pafah1b1 Lis-1 Lis1 Pafaha	Mus musculus (Mouse)	410
CYFIP1	Q7TMB8	CYFP1_MOUSE	reviewed	Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1)	Cyfip1 Kiaa0068 Shyc Sra1	Mus musculus (Mouse)	1253
MCM4	P49717	MCM4_MOUSE	reviewed	DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)	Mcm4 Cdc21 Mcmd4	Mus musculus (Mouse)	862
BRD4	Q9ESU6	BRD4_MOUSE	reviewed	Bromodomain-containing protein 4 (Mitotic chromosome-associated protein) (MCAP)	Brd4 Mcap	Mus musculus (Mouse)	1400
TAF6	Q62311	TAF6_MOUSE	reviewed	Transcription initiation factor TFIID subunit 6 (Transcription initiation factor TFIID 70 kDa subunit) (TAF(II)70) (TAFII-70) (TAFII70) (Transcription initiation factor TFIID 80 kDa subunit) (TAF(II)80) (TAFII-80) (TAFII80) (p80)	Taf6 Taf2e	Mus musculus (Mouse)	678
